action,csrankings_name,award_name,removed_dblp_profile,reason,evidence
clear_wrong_person_dblp,Adam Smith 0006,Adam Smith,https://dblp.org/pid/115/9177,"Adam Alexander Thil Smith at Lausanne has a microbial genomics bibliography, rather than the privacy and cryptography Fellow.",docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Alok N. Choudhary,Alok Choudhary,https://dblp.org/pid/73/11067,"The profile is concentrated in supply-chain and freight management, rather than Alok Choudhary's HPC, storage and parallel I/O.",docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Amit P. Sheth,Amit Sheth,https://dblp.org/pid/149/1472-1,"Amit Sheth 0001 is affiliated with Qualcomm and has a semiconductor fault-isolation paper, rather than the semantic-computing Fellow.",docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Anupam Gupta 0001,Anupam Gupta,https://dblp.org/pid/237/9038,Anupam K. Gupta at NUS works on tactile robotics; the Fellow is the approximation and online algorithms researcher.,docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Bing Liu 0001,Bing Liu,https://dblp.org/pid/97/4797,"Bing-Hong Liu has a wireless-sensor/networking bibliography, rather than Bing Liu's opinion mining and sentiment analysis.",docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Brian Neil Levine,Brian Levine,https://dblp.org/pid/92/3381,"The bibliography is dominated by autobiographical memory and brain-imaging research, not Brian Levine's network security and forensics.",docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,C.-C. Jay Kuo,Chung C. J Kuo,https://dblp.org/pid/32/1320,"Chung-yen Kuo has a coastal altimetry and geodesy bibliography, rather than the visual-computing work of C. C. Jay Kuo.",docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Chenyang Lu 0001,Chenyang Lu,https://dblp.org/pid/346/0861,Chenyang Lu 0007 at Dalian has one video-segmentation paper; DBLP separately identifies the Washington University researcher among homonyms.,docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Christian S. Jensen,Christian S. Jensen,https://dblp.org/pid/262/0478,"Bjørn Christian Skov Jensen has one tomography paper, rather than Christian S. Jensen's temporal/spatial databases.",docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Dan Roth 0001,Dan Roth,https://dblp.org/pid/59/857,"Dana L. Roth at the Caltech library has chemistry reference reviews, rather than Dan Roth's machine learning and NLP.",docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Dan Suciu,Dan Suciu,https://dblp.org/pid/71/7833,"Dan-Mircea Suciu has software-education and entrepreneurship research, rather than Dan Suciu's database theory.",docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Daniel Jackson 0001,Daniel Jackson,https://dblp.org/pid/80/1906-2,Daniel Jackson 0002 at Newcastle researches HCI and accessibility; the Fellow is the MIT Alloy/software-modeling researcher.,docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,David C. Parkes,David Parkes,https://dblp.org/pid/198/5164,The single Staffordshire e-books case study does not represent David C. Parkes's computational markets and mechanism design.,docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Gautam Das 0001,Gautam Das,https://dblp.org/pid/44/4238,Gautam K. Das at IIT Guwahati is a separate researcher from the database Fellow Gautam Das; adjacent graph topics alone do not establish identity.,docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Haesun Park,Haesun Park,https://dblp.org/pid/263/1018,"Hae-Sung Park has two copper-bonding papers, rather than Haesun Park's numerical algorithms and data analytics.",docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Hai Li 0001,Hai Li,https://dblp.org/pid/06/5975,"The page is Haiyang Li, rather than Hai (Helen) Li, and spans unrelated marketing, sensing and image-analysis work.",docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Huan Liu 0001,Huan Liu,https://dblp.org/pid/226/0686,"The page identifies Huanling Liu, with imaging, thermal and cardiac work, rather than the data-mining Fellow Huan Liu.",docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,John C. Mitchell,John C. Mitchell,https://dblp.org/pid/93/6977,"Craig John Mitchell has four UWB communications papers, rather than John C. Mitchell's programming-language theory.",docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,John Millar Carroll,John Millar Carroll,https://dblp.org/pid/c/JohnACarroll,"John Carroll 0001 at Sussex is an NLP/parsing researcher, rather than the HCI Fellow John Millar Carroll.",docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Joseph S. B. Mitchell,Joseph Mitchell,https://dblp.org/pid/167/3247,"The three records concern automated driving, ClinVar and social-media events, not Joseph Mitchell's geometric algorithms; the intended bibliography is absent.",docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Kai Li 0001,Kai Li,https://dblp.org/pid/65/8684,"Kai-Ming Li has radar and signal-processing papers, rather than Kai Li's computer systems and architecture.",docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Kyuseok Shim,Kyuseok Shim,https://dblp.org/pid/156/3851,"Kyu-Seok Shim has a protocol-traffic and reverse-engineering bibliography, rather than Kyuseok Shim's established databases/data-mining work.",docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Martin D. F. Wong,Martin Wong,https://dblp.org/pid/342/1326,"Martin Chi-Sang Wong has a clinical-healthcare bibliography, rather than the EDA Fellow Martin Wong.",docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Michael L. Littman,Michael Littman,https://dblp.org/pid/181/2369,Michael Littman 0001 is the Princeton mechanical/aerospace educator; DBLP separately identifies the Brown AI researcher Michael L. Littman.,docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Michael L. Scott,Michael Scott,https://dblp.org/pid/123/4969,"Michael Adrir Scott at Brunel researches computing education and HCI, rather than Michael Scott's parallel systems software.",docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Michael Reiter,Michael Reiter,https://dblp.org/pid/72/6232,"The bibliography is concentrated in medical imaging, flow cytometry and machine learning, not Michael Reiter's computer security and distributed computing.",docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Michael Wooldridge,Michael Wooldridge,https://dblp.org/pid/56/389,Michael A. Wooldridge has bioscience search-interface papers; the Oxford multi-agent researcher is Michael J. Wooldridge.,docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Mihai Pop,Mihai Pop,https://dblp.org/pid/293/3689,"Mihai-Ionut Pop has one consumer-behavior paper, rather than Mihai Pop's computational biology bibliography.",docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Ming C. Lin,Ming C Lin,https://dblp.org/pid/289/3331,"Ming-Chan Lin has one recommender-system paper, rather than Ming C. Lin's graphics and geometric modeling.",docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Peter J. Haas,Peter Haas,https://dblp.org/pid/46/1252,Peter Haas 0001 at Fachhochschule Dortmund researches medical informatics; the Fellow is the probabilistic data-management researcher.,docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Robert Tappan Morris,Robert Morris,https://dblp.org/pid/20/6501-2,"Rob L. Morris at SPAWAR has supervisory-control and audio-watermarking papers, rather than the systems Fellow Robert Morris.",docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Timothy M. Chan,Timothy Chan,https://dblp.org/pid/95/5439,"Timothy Kun-Chung Chan has one Chinese-language parsing paper, rather than Timothy Chan's geometric algorithms.",docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Wen Gao 0001,Wen Gao,https://dblp.org/pid/18/7486,"Wen-jing Gao has remanufacturing and product-recovery work, rather than Wen Gao's video-technology bibliography.",docs/dblp_profile_quality_2026-09-17.csv
clear_wrong_person_dblp,Yuanyuan Zhou 0001,Yuanyuan Zhou,https://dblp.org/pid/46/7346,"The small Yuan-Yuan Zhou bibliography concerns quantum/elliptic-curve cryptography and numerical solvers, not the Fellow's software reliability.",docs/dblp_profile_quality_2026-09-17.csv
remove_name_link,B. Chandrasekaran 0002,"Chandrasekaran, B.",https://dblp.org/pid/c/BChandrasekaran,B. Chandrasekaran 0001 at Ohio State is the AI Fellow; the VU Amsterdam source row is a different person.,docs/dblp_profile_quality_2026-09-17.csv
remove_name_link,Hui Zhang 0005,"Zhang, Hui",https://dblp.org/pid/z/HuiZhang1,Hui Zhang 0001 at Carnegie Mellon/Conviva is the networking Fellow; the UCL source row has a different Scholar ID and identity.,docs/dblp_profile_quality_2026-09-17.csv
