roster,name,year,csrankings_name,csrankings_name_alignment_date,status,reason,candidate_names,selected_affiliation,selected_homepage,acm_citation,scholar_name,scholar_affiliation,scholar_interests,dblp_name,dblp_information,evidence_urls
acm_fellows.csv,"Allman, Eric",2025,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,For the development of electronic mail.,,,,Eric Allman,award (2014): Internet Hall of Fame,https://awards.acm.org/award-recipients/allman_1511070
acm_fellows.csv,"Bonifati, Angela",2025,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,For contributions to the foundations of graph databases and data integration.,Angela Bonifati,"Distinguished Professor of Computer Science, Lyon 1 University, Senior Member of the French IUF","[""Graph Databases"", ""Data Integration"", ""Artificial Intelligence"", ""Big Data Analytics""]",Angela Bonifati,"affiliation: University of Lyon, France award (2023): TCDE Impact Award",https://awards.acm.org/award-recipients/bonifati_4027339
acm_fellows.csv,"Cao, Pei",2025,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,"For contributions to web caching, search engine efficiency, and information quality.",Pei Cao,Google Inc. and Stanford University,"[""Computer Systems"", ""Web"", ""Networks""]",Pei Cao,,https://awards.acm.org/award-recipients/cao_8112438
acm_fellows.csv,"Cappello, Franck",2025,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,"For contributions to parallel/distributed computing, resilience, and scientific data reduction",Franck Cappello,"Argonne National Laboratory. IEEE Fellow, ACM Fellow.","[""Parallel Processing"", ""High Performance Computing"", ""Fault Tolerance"", ""Data Compression""]",Franck Cappello,"affiliation: University of Illinois, INRIA-Illinois Joint Laboratory on PetaScale Computing",https://awards.acm.org/award-recipients/cappello_5342872
acm_fellows.csv,"Drettakis, George",2025,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,"For contributions to computer graphics, image based rendering, and visual computing.",George Drettakis,Inria Center at Université Côte d’Azur/GRAPHDECO,"[""Computer Graphics"", ""Rendering"", ""Neural Rendering"", ""Gaussian Splatting"", ""Global Illumination""]",George Drettakis,,https://awards.acm.org/award-recipients/drettakis_3424991
acm_fellows.csv,"Dukkipati, Nandita",2025,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,"For contributions to congestion control, TCP performance, and end-host network stacks.",,,,Nandita Dukkipati,,https://awards.acm.org/award-recipients/dukkipati_3327860
acm_fellows.csv,"Fu, Yun Raymond",2025,Yun Fu 0001,2026-09-18,scholar_id_and_identity_context,Same nonempty Scholar ID as the reviewed Y-rated roster link; candidate name and institution context reviewed for compatible identity.,Yun Fu 0001 | Yu Fu 0010 | Yanjie Fu | Yanwei Fu 0001 | Ying Fu 0001 | Yongjian Fu 0001 | Yuxi Fu | Yuzhuo Fu,Northeastern University,http://www1.ece.neu.edu/~yunfu,"For contributions to representation learning, computer vision, face and gesture recognition",Y. Raymond Fu,"NEU, COE Distinguished Professor; MAE, Fellow of NAI, AAAS, ACM, IEEE, AAAI","[""machine learning"", ""computer vision"", ""image processing"", ""human computer interaction"", ""multimedia""]",,,https://awards.acm.org/award-recipients/fu_2327618 | https://scholar.google.com/citations?user=h-JEcQ8AAAAJ
acm_fellows.csv,"Gleicher, Michael L",2025,Michael Gleicher,2026-09-18,scholar_id_and_identity_context,Same nonempty Scholar ID as the reviewed Y-rated roster link; candidate name and institution context reviewed for compatible identity.,Michael Gleicher,University of Wisconsin - Madison,http://pages.cs.wisc.edu/~gleicher,"For contributions to graphics, multimedia, visualization, and robotics",Michael Gleicher,"Professor of Computer Sciences, University of Wisconsin - Madison","[""Computer Graphics"", ""Visualization"", ""Robotics""]",Michael Gleicher,"affiliation: University of Wisconsin-Madison, Madison, USA",https://awards.acm.org/award-recipients/gleicher_3026374 | https://scholar.google.com/citations?user=kDkH9UkAAAAJ
acm_fellows.csv,"Hodges, Steve",2025,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,For contributions to interactive device and systems research resulting in widely adopted impactful products,Steve Hodges,Lancaster University 📄= pub; 💡= patent ; 🏆/🏅= award,"[""ubiquitous computing"", ""pervasive computing"", ""HCI"", ""physical computing"", ""IoT""]",Steve Hodges 0001,"affiliation: Lancaster University, UK affiliation (former): Microsoft Research, United Kingdom",https://awards.acm.org/award-recipients/hodges_9356500
acm_fellows.csv,"Markopoulou, Athina",2025,,,no_candidate,No candidate with sufficient corroborating identity evidence in this pass.,,,,For contributions to internet measurement and privacy enhancing technologies.,,,,Athina Markopoulou,,https://awards.acm.org/award-recipients/markopoulou_1561968
