name,year,google_scholar_profile_quality,category,review_requested,reason,retained_concern,acm_fellow_profile,google_scholar_profile,acm_citation,scholar_name,scholar_affiliation,sample_publications,evidence_title,evidence_authors,supporting_source,shared_fellow,shared_fellow_quality,reviewed_at,scholar_fetched_at,scholar_capture_sha256,acm_fetched_at,acm_capture_sha256
Charles H. Bennett,2025,Y,reasonable_sample,N,"Quantum teleportation, cryptography, entanglement and reversible computation fit the ACM quantum-information citation and IBM affiliation.",,https://amturing.acm.org/award_winners/bennett_1202470.cfm,https://scholar.google.com/citations?user=mkjGmJEAAAAJ,For their essential role in igniting and shaping the quantum revolution in computer science and in information and communications technology.,Charles H. Bennett,"Fellow, IBM Research Division",20,,,,,,2026-09-17T21:32:50-04:00,2026-09-17T02:05:29Z,61af5299c5ea6752dc59761948ac02439763ff305cc63697fb9398ee4d2274aa,2026-09-13T23:35:46Z,1eb825c3200403167f1b39ab571cc69fcddca538e2753d928b9c891c5f9ef30e
Gilles Brassard,2025,Y,reasonable_sample,N,"Quantum cryptography, teleportation, search and algorithms fit the ACM citation and Montreal affiliation; an isolated social-media review does not undermine the coherent sample.",,https://amturing.acm.org/award_winners/brassard_uj34503.cfm,https://scholar.google.com/citations?user=Rh7_srgAAAAJ,For their essential role in igniting and shaping the quantum revolution in computer science and in information and communications technology,Gilles Brassard,"Professor of computer science, Université de Montréal",20,,,,,,2026-09-17T21:32:50-04:00,2026-09-17T02:05:35Z,3e4fe557021dfd3616cb398b2b87fbeee160671d7edb29f0c4aafabe9473029f,2026-09-13T23:35:53Z,31f101d5501fc639a9d4aaefa2c107c9fc7195cf355d89e21e38ae918c4d4ab0
Andrew Barto,2024,Y,reasonable_sample,N,"Reinforcement learning, adaptive critics, hierarchical learning and control fit the ACM citation and UMass affiliation.",,https://awards.acm.org/award-recipients/barto_9471663,https://scholar.google.com/citations?user=CMIgrCgAAAAJ,For developing the conceptual and algorithmic foundations of reinforcement learning,Andrew Barto,University of Massachusetts Amherst,20,,,,,,2026-09-17T21:32:50-04:00,2026-09-17T02:05:41Z,20e408bd48ea23fd56493679122b869c623476631f118102ac6597f5bba485f4,2026-09-13T23:35:58Z,a5aae1e70f8fe7e0b3c6bfbeff28be93aae3b66db486d8d632ff7cabbfe0f803
Richard Sutton,2024,Y,reasonable_sample,N,"Temporal-difference learning, policy gradients, Dyna and reinforcement-learning foundations fit the ACM citation and Alberta affiliation.",,https://awards.acm.org/award-recipients/sutton_0160594,https://scholar.google.com/citations?user=6m4wv6gAAAAJ,For developing the conceptual and algorithmic foundations of reinforcement learning,Richard S. Sutton,"Keen, Amii, and University of Alberta",20,,,,,,2026-09-17T21:32:50-04:00,2026-09-17T02:05:48Z,c2f43d65b7acd85e6103033e11605200aead7595f7d2fbeaa25c8eca04950c98,2026-09-13T23:36:05Z,b3e8b32ee69ce87445b56ec005a9446d44cda9d1bb53b0c966392463f8f7acd5
Avi Wigderson,2023,N,missing_profile,N,No Scholar profile link is stored; N follows the user's explicit missing-profile policy and does not prove that no public profile exists.,,https://awards.acm.org/award-recipients/wigderson_3844537,,"For foundational contributions to the theory of computation, including reshaping our understanding of the role of randomness in computation and mathematics, and for his decades of intellectual leadership in theoretical computer science",,,0,,,,,,2026-09-17T21:32:50-04:00,,,2026-09-13T23:36:12Z,0a52d5620110d795ad9830f7a29d41692905fe3c543f025658537fb53ffcf1c9
Robert Melancton Metcalfe,2022,Y,reasonable_sample,N,"Ethernet, packet communication, network protocols and related computing essays dominate; edited-volume chapter credits do not establish a substantially mixed identity.",,https://awards.acm.org/award-recipients/metcalfe_3968158,https://scholar.google.com/citations?user=EKGzIBYAAAAJ,"For the invention, standardization, and commercialization of Ethernet.",Robert Metcalfe,The University of Texas at Austin,20,,,,,,2026-09-17T21:32:50-04:00,2026-09-17T02:05:55Z,ea7f638f4e5cb33290765ac2e569fd116fa21f3f1835bf5f304c94445d5a684a,2026-09-13T23:36:20Z,b94a88b9156b084ab8e1ddb37c17e456bea2baac281e9717beebd049a77e2acc
Jack Dongarra,2021,Y,reasonable_sample,N,"LAPACK, LINPACK, BLAS, MPI and parallel numerical software dominate, matching ACM; one Floater surface-triangulation paper is adjacent and does not warrant N.",,https://awards.acm.org/award-recipients/dongarra_3406337,https://scholar.google.com/citations?user=X4SbSTAAAAAJ,For his pioneering contributions to numerical algorithms and libraries that enabled high performance computational software to keep pace with exponential hardware improvements for over four decades,Jack Dongarra,University of Tennessee; Oak Ridge National Laboratory; University of Manchester,20,,,,Jack Dongarra,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:06:01Z,f3faf756db6dd4095e19ca58ffb0a325b6cb2e82327b97bdac222d7174cc0a41,2026-09-13T23:36:27Z,5a765f1850454bdbeaae9002905b144e1db08c3c12063a3dd1e03abb8e677388
Alfred V Aho,2020,Y,reasonable_sample,N,"Compilers, parsing, algorithms, AWK and string matching fit the ACM citation; translations, abbreviated credits and broad computing reports are reasonable.",,https://awards.acm.org/award-recipients/aho_1046358,https://scholar.google.com/citations?user=gb2r2ssAAAAJ,"For fundamental algorithms and theory underlying programming language implementation and for synthesizing these results and those of others in their highly influential books, which educated generations of computer scientists.",Alfred Aho,"Lawrence Gussman Professor of Computer Science, Columbia University",20,,,,Alfred V Aho,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:06:07Z,3a403ddaa9ddf42a0204bf01c7379302fe5ab98255fa57d02f0df1c1e0021553,2026-09-13T23:36:34Z,a2da030f649bf824a63eaa0dfc2f05fb45ebdfad19bcf660bb1a0f0c18dc7f6a
Jeffrey D Ullman,2020,Y,reasonable_sample,N,"Automata, compilers, databases, data mining and algorithms form a coherent sample matching the ACM citation.",,https://awards.acm.org/award-recipients/ullman_1054360,https://scholar.google.com/citations?user=wUJ2bXgAAAAJ,"For fundamental algorithms and theory underlying programming language implementation and for synthesizing these results and those of others in their highly influential books, which educated generations of computer scientists.",Jeffrey Ullman,"Professor of Computer Science, Stanford University",20,,,,Jeffrey D Ullman,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:06:13Z,d6547d5148bcef7353b732ff87dfc5b2a6a64413b13905c0643593882c7911b3,2026-09-13T23:36:40Z,53aa8986e071f21328d48b5955e976bd1a1d848e5ece23b187f863708e64e3c8
Edwin Catmull,2019,Y,reasonable_sample,N,"Pixar leadership, creativity publications and graphics work fit the ACM identity; many translated or duplicate book records limit breadth, but do not indicate a substantially mixed profile.",,https://awards.acm.org/award-recipients/catmull_1244219,https://scholar.google.com/citations?user=qb5SK0QAAAAJ,"For fundamental contributions to 3D computer graphics, and the impact of computer-generated imagery (CGI) in filmmaking and other applications.",Edwin Catmull,"Pixar, Disney, retired",20,,,,Edwin Catmull,Y,2026-09-17T21:32:50-04:00,2026-09-17T02:06:21Z,973185da4e5e7f7a7248d529cf39d45fd9a5bc9f3ba53ad7ead5ff9600f3c996,2026-09-13T23:36:47Z,e6f3d6eb3d447104bffc09a9cc4a0669b2572296cae7562170f76ab14c518ab6
